checked,date,comment,no,endnoteID,author,year,lastname,author_year_format,author_year,title,country,site,multi_country,setting,representativeness,cohort_abbrev,cohort_abbrev,study_design,fup_period,fup_start,fup_end,dc_period,dc_start,dc_end,data_source,moa,sampling,sample_size,sex,age_specific,start_age,end_age,response_rate,attr_rate,comment about sample characteristics,instrument,diag_criteria,M_EstimateType,M_TypeofAnalysis,page,table,temporality_type,dx1_timing,dx2_timing,dx1_label,dx1_abbrev,dx2_label,dx2_abbrev,pair,unadj_type,unadj_subtype,unadj_rate,unadj_lower,unadj_upper,unadj_pvalue,adj_type,adj_subtype,adj_rate,adj_lower,adj_upper,adj_pvalue,adj_conf,cross_type,cross_subtype,a,b,c,d,double check bs:bv,unadj_indicator1,unadj_indicator2,unadj_indicator,unadjusted_type,adj_indicator,S_QRBackground,S_QRObjective,S_QRSetting,S_QRDataSource,S_QRDiagnosticCriteria,S_QRDiagnosticMethod,S_QRGeneralizability,S_QREstimate,S_QRAdjustment,S_QRBias,S_QRStatistics,S_QREthicalApproval,S_QRTotalScore
yes,1-Oct,,1,59,"Adewuya, A. O.",2006,Adewuya,Adewuya et al (2006),Adewuya (2006),Prevalence of major depressive disorder in Nigerian college students with alcohol-related problems,Nigeria,Osun state,,six colleges,S,,,CS,,,,,,,survey,Face-to-Face interview (both),multistage,2658,both,0,15,44,86,,,MINI,DSM-IV,odds ratios,logistic regression,171,1,PP,12-month,2 weeks,alcohol abuse,ALA,major depressive disorder,DEP,ALA-DEP,overall,,2.27,1.38,3.72,,,,,,,,,,,,,,,,1,0,1,overall,0,1,1,1,2,2,3,0,1,0,0,1,1,13
yes,1-Oct,,2,59,"Adewuya, A. O.",2006,Adewuya,Adewuya et al (2006),Adewuya (2006),Prevalence of major depressive disorder in Nigerian college students with alcohol-related problems,Nigeria,Osun state,,six colleges,S,,,CS,,,,,,,survey,Face-to-Face interview (both),multistage,2659,both,0,15,44,86,,,MINI,DSM-IV,odds ratios,logistic regression,171,1,PP,12-month,2 weeks,alcohol dependence,ALD,major depressive disorder,DEP,ALD-DEP,overall,,3.14,1.42,6.96,,,,,,,,,,,,,,,,1,0,1,overall,0,1,1,1,2,2,3,0,1,0,0,1,1,13
yes,1-Oct,,1,195,"Alonso, J.",2004,Alonso,Alonso et al (2004),Alonso et al (2004),12-Month comorbidity patterns and associated factors in Europe: results from the European Study of the Epidemiology of Mental Disorders (ESEMeD) project,Multiple,,"Belgium, France, Germany, Italy, the Netherlands, Spain",,N,ESEMeD,Epidemiology of Mental Disorders Ú Mental Health Disability,CS,,,,3,2001,2003,survey,Face-to-Face interview (both),multistage,21425,both,0,18,99,61.2,,,CIDI,DSM-IV,odds ratios,logistic regression,32,3,PP,12-month,12-month,dysthymia,DYS,alcohol abuse,ALA,DYS-ALA,overall,,1.7,0.7,4.5,,,,,,,,,,,,,,,,1,0,1,overall,0,1,1,1,2,2,3,1,1,1,1,1,1,16
yes,1-Oct,,2,195,"Alonso, J.",2005,Alonso,Alonso et al (2005),Alonso et al (2005),12-Month comorbidity patterns and associated factors in Europe: results from the European Study of the Epidemiology of Mental Disorders (ESEMeD) project,Multiple,,"Belgium, France, Germany, Italy, the Netherlands, Spain",,N,ESEMeD,Epidemiology of Mental Disorders Ú Mental Health Disability,CS,,,,3,2001,2003,survey,Face-to-Face interview (both),multistage,21425,both,0,18,99,61.2,,,CIDI,DSM-IV,odds ratios,logistic regression,32,3,PP,12-month,12-month,dysthymia,DYS,alcohol dependence,ALD,DYS-ALD,overall,,2.2,0.6,8.3,,,,,,,,,,,,,,,,1,0,1,overall,0,1,1,1,2,2,3,1,1,1,1,1,1,16
yes,1-Oct,,3,195,"Alonso, J.",2006,Alonso,Alonso et al (2006),Alonso et al (2006),12-Month comorbidity patterns and associated factors in Europe: results from the European Study of the Epidemiology of Mental Disorders (ESEMeD) project,Multiple,,"Belgium, France, Germany, Italy, the Netherlands, Spain",,N,ESEMeD,Epidemiology of Mental Disorders Ú Mental Health Disability,CS,,,,3,2001,2003,survey,Face-to-Face interview (both),multistage,21425,both,0,18,99,61.2,,,CIDI,DSM-IV,odds ratios,logistic regression,32,3,PP,12-month,12-month,major depression,DEP,alcohol abuse,ALA,DEP-ALA,overall,,2.6,1.8,3.9,,,,,,,,,,,,,,,,1,0,1,overall,0,1,1,1,2,2,3,1,1,1,1,1,1,16
yes,1-Oct,,4,195,"Alonso, J.",2007,Alonso,Alonso et al (2007),Alonso et al (2007),12-Month comorbidity patterns and associated factors in Europe: results from the European Study of the Epidemiology of Mental Disorders (ESEMeD) project,Multiple,,"Belgium, France, Germany, Italy, the Netherlands, Spain",,N,ESEMeD,Epidemiology of Mental Disorders Ú Mental Health Disability,CS,,,,3,2001,2003,survey,Face-to-Face interview (both),multistage,21425,both,0,18,99,61.2,,,CIDI,DSM-IV,odds ratios,logistic regression,32,3,PP,12-month,12-month,major depression,DEP,alcohol dependence,ALD,DEP-ALD,overall,,6.7,3.1,14.3,,,,,,,,,,,,,,,,1,0,1,overall,0,1,1,1,2,2,3,1,1,1,1,1,1,16
yes,1-Oct,,1,8,"Amin-Esmaeili, M.",2017,Amin-Esmaeili,Amin-Esmaeili et al (2017),Amin-Esmaeili et al (2017),"Alcohol use disorders in Iran: Prevalence, symptoms, correlates, and comorbidity",Iran,,,,N,IranMHS,Iranian household Mental Health survey,CS,,,,1,2011,2011,survey,Face-to-Face interview (both),multistage,7840,both,0,15,64,86.2,,,CIDI,"DSM-IV, DSM-V",odds ratios,logistic regression,53,4,PP,12-month,12-month,mood disorder,MOOD,alcohol use disorder,AUD,MOOD-AUD,,,,,,,overall,,2.9,1.4,5.9,,"age, sex, marital status, education, occupation, residence, SES, geographic region",,,,,,,,0,0,0,,1,1,1,1,2,2,3,0,1,1,0,1,1,14
yes,1-Oct,"JM, SS decided to use 'problem alcohol use' as AL_ABUSE, as DSMV does not have any AL_ABUSE category",2,8,"Amin-Esmaeili, M.",2017,Amin-Esmaeili,Amin-Esmaeili et al (2017),Amin-Esmaeili et al (2017),"Alcohol use disorders in Iran: Prevalence, symptoms, correlates, and comorbidity",Iran,,,,N,IranMHS,Iranian household Mental Health survey,CS,,,,1,2011,2011,survey,Face-to-Face interview (both),multistage,7840,both,0,15,64,86.2,,,CIDI,"DSM-IV, DSM-V",odds ratios,logistic regression,53,4,PP,12-month,12-month,mood disorder,MOOD,problem alcohol use,ALA,MOOD-ALA,,,,,,,overall,,2.3,1.4,3.7,,"age, sex, marital status, education, occupation, residence, SES, geographic region",,,,,,,,0,0,0,,1,1,1,1,2,2,3,0,1,1,0,1,1,14
yes,1-Oct,,1,154,"Amin-Esmaeili, M.",2016,Amin-Esmaeili,Amin-Esmaeili et al (2016),Amin-Esmaeili et al (2016),"Epidemiology of illicit drug use disorders in Iran: prevalence, correlates, comorbidity and service utilization: results from the Iranian mental health survey",Iran,,,,N,IranMHS,Iranian household Mental Health survey,CS,,,,1,2011,2011,survey,Face-to-Face interview (both),multistage,7841,both,0,15,64,86.2,,,CIDI,DSM-IV,odds ratios,logistic regression,1843,3,PP,12-month,12-month,mood disorder,MOOD,drug use disorder,DUD,MOOD-DUD,,,,,,,overall,,4,2.5,6.2,,"age, sex, marital status, education, occupation, residence, SES, geographic region",,,,,,,,0,0,0,,1,1,1,1,2,2,3,1,1,1,0,1,1,15
yes,1-Oct,,2,154,"Amin-Esmaeili, M.",2016,Amin-Esmaeili,Amin-Esmaeili et al (2016),Amin-Esmaeili et al (2016),"Epidemiology of illicit drug use disorders in Iran: prevalence, correlates, comorbidity and service utilization: results from the Iranian mental health survey",Iran,,,,N,IranMHS,Iranian household Mental Health survey,CS,,,,1,2011,2011,survey,Face-to-Face interview (both),multistage,7841,both,0,15,64,86.2,,,CIDI,DSM-IV,odds ratios,logistic regression,1843,3,PP,12-month,12-month,mood disorder,MOOD,opioid dependence,OPID,MOOD-OPID,,,,,,,overall,,3.7,2.2,6.2,,"age, sex, marital status, education, occupation, residence, SES, geographic region",,,,,,,,0,0,0,,1,1,1,1,2,2,3,1,1,1,0,1,1,15
yes,7-Oct,,1,155,"Andrews, G",2002,Andrews,Andrews et al (2002),Andrews et al (2002),Deconstructing current comorbidity: data from the Australian National Survey of Mental Health and Well-Being,Australia,,,,N,NSMHWB,The Australian National Survey of Mental Health and Well-Being,CS,,,,1,1997,1997,survey,Face-to-Face interview (both),multistage,10641,both,0,18,99,78,,,CIDI,DSM-IV,odds ratios,logistic regression,309,2,LT,LT,LT,depression,DEP,alcohol abuse or dependence,AUD,DEP-AUD,overall,,5.5,,,0.001,overall,,3.1,,,0.001,other disorders,,,,,,,,1,0,1,overall,1,0,1,1,2,2,3,0,1,1,0,1,0,12
